product_id,review_date,user_id,review_title,review_text,rating
B00HZYBM9W,"on August 21, 2016",AVK3NU177XHKZ,Five Stars,great,5
B00HZYBM9W,"on August 12, 2016",A1GQAKL9CGQLP1,Once a Week Treat,"Glad they took the aspartame out.<br /><br />Dr. Oz says you can have a soda a week and it won't hurt you. This is my soda of choice.<br /><br />As a substitute for soda, I drink seltzer with a dash of lemon, pineapple juice, orange juice or a flavored seltzer.<br /><br />But this diet pepsi is my treat.",4
B00HZYBM9W,"on August 5, 2016",A38H6PHZ1A0V26,Five Stars,great flavor and price,5
B00HZYBM9W,"on July 1, 2016",A2TN2WN0EL3HPX,i drank a pepsi the other day and was wondering why it tasted so bad and had a bad aftertaste,"i cut back on pepsi when they went from 24oz bottles to 16oz and didnt cut the price. now we get 12oz? and they wonder why sales are plumiting?<br />and here is the real kicker. i drank a pepsi the other day and was wondering why it tasted so bad and had a bad aftertaste. come to find out its the new formula.<br />big business is like government, they dont have a clue.",1
B00HZYBM9W,"on June 16, 2016",A17O9AHKHK66AI,Good - Convenient,"These little bottles are good for convenience, and I like the aspartame free formula. It tastes a bit less sweet than the aspartame stuff, and the ACE K cuts the sucralose aftertaste.",4
B00HZYBM9W,"on May 2, 2016",A33X9LQI1KJ5MF,Five Stars,Love Pepsi..,5
B00HZYBM9W,"on April 1, 2016",A18Q48DX28IE1K,Tiny bottles,Please make sure you read the ounces. These bottles are tiny.,4
B00HZYBM9W,"on March 9, 2016",A39W7WCX9S5M3I,Great product,Just what I wanted,5
B00HZYBM9W,"on March 5, 2016",A3SWL62VMR930R,Great size,"I love Pepsi in bottles because I usually do not finish a can.  With this size bottle, I can reclose it and not waste it.",5
B00HZYBM9W,"on February 18, 2016",A2NYBH9QQ7RFZ,"Unfortunately, I am a Diet Pepsi addict. I ...","Unfortunately, I am a Diet Pepsi addict. I am down to one or two a day now, but I HAVE to have them in the house at all times. Price is right for home delivery.",5
B00HZYBM9W,"on February 17, 2016",A2Q8JB3FABW81H,Great product!!,BETTER then with the aspertame!!,5
B00HZYBM9W,"on January 5, 2016",A2HOXSTRLK8OY5,grocery,great price/good deal,5
B00HZYBM9W,"on November 9, 2015",A36M437SFL3EF4,Five Stars,"Delivered as promised with Prime Pantry. Crisp, refreshing beverage.",5
B00HZYBM9W,"on October 27, 2015",A2VQCYUQDYTGQ7,Two Stars,did not realize how small 120z really is,2
B00HZYBM9W,"on October 23, 2015",AUJW4ZI5ZCP4N,Three Stars,Price could have been little bit better.,3
